486 students got an average of their 2 choice, while 14 students did not get any of their choices
Student Name, Student GPA, Project UUID, Project Title
JOYCE PATTERSON, 3.33, f036f509-ab92-4dca-a5e9-b57f71be802b, Using rfid to improve pouting on camera
ROGER GREEN, 2.04, ea236a80-e8ab-4b5f-bfc9-56c390d403ef, Security analysis of testing scientific theories
ROGER HAYES, 2.1, 7635a8e0-a737-45f8-b420-cefdd0969e65, Security analysis of writing mystery stories
JIMMY WOOD, 3.5, 8efba10a-6cbf-44ac-a713-2d153d4a7df1, View of dagon in performing magic tricks
WAYNE RUSSELL, 2.94, 2bfabdb6-45bb-4c44-8d1f-19fedec27b9f, Using ai to streamline starring in Hollywood movies
HAROLD PEREZ, 3.79, 33df5355-a727-4c05-a4b8-55965be4d1ad, Using rfid to improve adopting children
ANNE BAKER, 3.34, 3e5ab9c2-241e-4aeb-895f-b5bcb1b37642, Using rfid to improve writing about manly pursuits
RANDY GRAY, 2.7, 57050823-815b-45ce-af92-08ee9f1ae6a9, Using rfid to improve singing melancholy songs
THOMAS PRICE, 2.48, b8043b73-b811-41bd-90f1-c5affa0fbe69, Using ai to streamline driving around America
GRACE SANDERS, 2.35, 2df4f898-3657-47f6-b120-8e2cdc333d57, Using ai to streamline working out
LOUIS ADAMS, 3.54, 5f20a8f0-5b66-4bc0-a4bc-f57e975ce7c5, Security analysis of making idealistic movies
ANNA MORRIS, 3.28, e86713a3-1916-43fc-8b6c-1b20bcb57490, Using rfid to improve starring in Hollywood movies
JUDY WASHINGTON, 3.51, e9ab401e-0508-471d-ba0e-f78929f56eb3, Using ai to streamline painting dark pictures
PAUL ROGERS, 2.26, b53a0dff-9372-4082-8134-0ced9b7c987d, Security analysis of chasing old women
STEPHANIE WRIGHT, 3.06, 1202e59f-b6d8-4dec-b3e4-3bba22d38532, Using ai to streamline giving speeches
SHARON WILLIAMS, 3.36, f036f509-ab92-4dca-a5e9-b57f71be802b, Using rfid to improve pouting on camera
DONALD THOMPSON, 2.23, 6d408262-385c-4c3e-a344-16ce1411a607, Using rfid to improve hunting wabbits
WALTER PHILLIPS, 2.25, dcf734b1-28f0-45ed-9241-8e78215c6318, Using excel to analyse patterns in building giant walls
GREGORY KING, 2.13, 68d3240a-8aa0-4498-b2bb-a99210808d88, Using ai to streamline starring in TV shows
LAWRENCE SCOTT, 3.36, bba8099b-d1ea-4f15-8c77-ab2916efc172, View of dagon in starring in romantic comedies
KEITH BAKER, 2.25, 8c91a0e3-816c-479f-b0bf-786566eae36d, Worshipping cthulu in making prank calls
GEORGE CARTER, 3.39, 752f4501-095d-4395-863b-1fb9ed6e4f8c, Security analysis of telling affable jokes
DALE SMITH, 3.09, 8a5164d2-55a8-4db3-889d-e866f50f337e, View of dagon in singing pop songs
LARRY BELL, 3.72, 106a7388-3ca8-4063-889e-3de1a2cc5ce2, Using excel to analyse patterns in eating the inedible
RONALD JOHNSON, 3.74, c651a4b3-236a-4c34-94a2-0b6415d46aba, Using rfid to improve starring in indy movies
DONNA HILL, 3.4, e6c950a5-888d-4f52-892e-82663252be9f, Using rfid to improve drawing political cartoons
WILLIE MOORE, 2.08, dd95d419-34f0-4735-af8c-5405f4363bb6, Using rfid to improve chasing terrorists
RYAN ROGERS, 3.73, e6b142e3-ea9d-43c5-b176-ae01024b5c1a, Using excel to analyse patterns in giving speeches
RUSSELL JONES, 3.82, 78153fa8-4a35-4366-916e-ef4291917b4a, Security analysis of ranting about liberals
FRANK ALLEN, 3.26, 5eb5a88d-e5f2-480a-b04f-d964c7ea97e1, Security analysis of writing experimental songs
BRENDA MORRIS, 3.84, 8fc49106-7517-4db5-b554-ba7b299b1f40, Worshipping cthulu in starring in musical comedies
JOE BUTLER, 3.41, f15540ff-3937-407b-bb24-60d3d7f63852, Using rfid to improve dating centrefolds
STEVEN THOMPSON, 2.76, f076ac5a-12d5-4d81-b548-0bae3f1a2604, View of dagon in making threatening phone calls
DOROTHY PERRY, 3.75, bb8363c5-0759-49e1-9fd4-259e9d25c352, View of dagon in promoting yellow journalism
EARL WILSON, 2.61, b53a0dff-9372-4082-8134-0ced9b7c987d, Security analysis of chasing old women
VINCENT HUGHES, 2.86, d825d208-e81c-4579-a4b0-1f70c073a157, Security analysis of playing grungy music
JUDY ALLEN, 3.96, ee23d2d8-afa5-473d-8318-a84216ae3b57, Using ai to streamline campaigning for democracy
CHRIS PRICE, 3.23, 619f5f67-7060-4e78-853a-dfa68ced9e38, Using excel to analyse patterns in gyrating hips
GLENN CLARK, 2.19, daf0f09d-9522-4045-ae3a-e091fa9b77aa, View of dagon in starring in romantic comedies
JUSTIN COLLINS, 2.54, 6d2e5c81-1261-403a-9faa-48d3c9b26553, Using excel to analyse patterns in starring in Hollywood movies
JUDITH PETERSON, 2.99, fd8fba7d-c562-490a-bdce-2be321489213, Using ai to streamline laughing maniacally
TONY FOSTER, 2.32, 7635a8e0-a737-45f8-b420-cefdd0969e65, Security analysis of writing mystery stories
MICHELLE RIVERA, 2.38, 92053d9a-ccb2-46cf-ae1c-94840f791165, Using excel to analyse patterns in writing beat fiction
JOSEPH HARRIS, 3.13, f036f509-ab92-4dca-a5e9-b57f71be802b, Using rfid to improve pouting on camera
GARY CARTER, 3.69, 8d01cc7d-6b89-4489-9f0a-6f0d9e842c83, Worshipping cthulu in campaigning for the senate
LAWRENCE PARKER, 2.87, 9051a999-c0c3-4805-b005-1889084f2718, View of dagon in playing soccer
JANE GRAY, 3.11, 2428149b-2407-4132-9d6e-ff78c5dd389f, Using rfid to improve exploring darkest Africa
AMY WALKER, 3.5, d6e0d923-0b47-4408-8211-31ee330660b3, Worshipping cthulu in designing modern buildings
ANDREW MARTINEZ, 2.66, cca38eb7-f93a-4a16-98cb-959ea5e42bac, Worshipping cthulu in running an empire
NATHAN JAMES, 2.92, 481c2ccb-a1af-495c-b2b7-2766708164ad, Using ai to streamline running an empire
RALPH ROBERTS, 2.83, 7a7865a3-ea34-402a-ae6a-3d9f28cb3d6a, View of dagon in smuggling contraband
ANDREW HOWARD, 3.24, 3ebc4c6d-3472-463d-a03e-205ddd3edd6e, Using rfid to improve singing middle-of-the-road songs
LORI PERRY, 2.67, 8e7b7c0a-2689-4986-a600-30b3efed909f, Using ai to streamline hitting home runs
HOWARD BROOKS, 3.93, 5cb2f43c-06d3-4476-943c-1a2841c430a2, Using rfid to improve representing the disenfranchised
HARRY WILLIAMS, 3.51, 5f9102ee-997d-4043-acb9-5ff30caa83ba, Using excel to analyse patterns in starring in romantic comedies
KENNETH COLEMAN, 2.73, a70b4aa1-2872-4641-ab4b-06cbfa3fc070, Using rfid to improve eluding FBI profilers
ROBIN SCOTT, 3.43, f959991c-1aa8-45bf-abd0-cdd021d1e06e, Using rfid to improve pursuing criminals
LAURA ADAMS, 3.4, 46a58883-ab7d-4467-8e9f-779fef4a6f64, Using rfid to improve pretending to fight
MELISSA PERRY, 2.19, 72257529-3e7b-46d9-9747-5179e37477d4, Worshipping cthulu in recording pop songs
JENNIFER RUSSELL, 3.18, 2513d716-893d-4844-8aa0-2c6391f8a92e, Security analysis of seducing women
SEAN WILSON, 3.32, 73ccf34a-6d6b-4ca1-9aae-42278474f8d3, Using ai to streamline making Italian movies
SARAH GRIFFIN, 3.07, 98527ead-227d-4cc4-a7f6-26f58b9e253b, Security analysis of spreading philosophy
THERESA WHITE, 2.93, c37cc401-39a3-4d9d-8af6-c4a6a33d462c, Using rfid to improve starring in action movies
STEPHANIE ADAMS, 2.03, f95f8378-3c64-4702-a3d3-3ab0843a0d57, Using rfid to improve punching out Nazis
RUTH BELL, 2.87, 23938fc8-8477-4954-bcec-10a54bbc5b6e, Worshipping cthulu in eating a box of chocolates
JACQUELINE GRIFFIN, 3.8, 073439ac-bd02-490a-88d3-72b992fb6121, View of dagon in designing modern buildings
CHRISTINA DAVIS, 3.31, 3de5061f-8471-4cdf-bd48-ee5ff43ee89f, Using rfid to improve writing mystery stories
KATHRYN GRAY, 3.03, 3b74f803-29e9-42f6-8fd5-a4878a3fc1fe, Using excel to analyse patterns in telling affable jokes
DOROTHY RUSSELL, 2.57, 5cb2f43c-06d3-4476-943c-1a2841c430a2, Using rfid to improve representing the disenfranchised
DENISE DIAZ, 3.69, 073a866e-0c54-4c1f-b12c-adac01291b9b, Using rfid to improve promoting the Dark Side
GLADYS JENKINS, 3.87, ffb2dd58-b184-4644-95c8-528704009e5d, Using excel to analyse patterns in teaching the next generation
CHRISTINA BROWN, 2.72, 8e2c7e22-22e3-4a76-a412-3c64b0ee7eee, Using excel to analyse patterns in eating bugs
ANTONIO SIMMONS, 2.14, b1c73732-b7ee-4545-9123-8443ff135bdd, Security analysis of making dumb comedies
KIM LEE, 2.26, fa139cc9-7cf4-4e6c-b857-ac4f773e6e4b, Worshipping cthulu in spitting while speaking
RODNEY BAKER, 2.16, 87372afa-db89-468f-af81-aa3453e5f6a1, Security analysis of chasing interns
BONNIE BARNES, 3.73, 905ffabd-668a-4e74-a351-9b9e1785c078, Worshipping cthulu in avoiding paparazzi
DANNY THOMPSON, 3.99, 15a7277f-fdbb-42f2-add1-a074b47f7b01, Using ai to streamline seducing emperors
EDNA PRICE, 2.16, 708ad2c2-c0b5-4a92-8dd6-ff61f0fdf66d, View of dagon in womanizing
JOAN SMITH, 3.95, 8fc95c0b-4dcb-4c53-9582-936e99ff6f20, Using excel to analyse patterns in writing pop songs
ANNA CARTER, 3.24, 2a715d5c-1446-446c-8127-0a60eedefe32, Using ai to streamline hunting raccoons
RACHEL THOMAS, 2.2, 0efbb25e-0e1d-43d2-809c-ea252cda210d, Using excel to analyse patterns in watching TV
CAROL MORGAN, 2.96, fa139cc9-7cf4-4e6c-b857-ac4f773e6e4b, Worshipping cthulu in spitting while speaking
ANN CAMPBELL, 2.26, 921e948b-ebd4-4b59-83f5-8261d5993aaf, View of dagon in writing comedy
RYAN NELSON, 3.75, 1e9449c1-de36-456c-8e98-6b4fa1a4dc53, Using rfid to improve studying symbols
RACHEL WILSON, 2.12, 10db94cb-6efb-411b-ab8d-b25660ffcbd3, Using excel to analyse patterns in eluding capture
CONNIE PEREZ, 3.06, 87c3f7cc-1771-4787-89af-eb438a85a4a5, Using ai to streamline maintaining a secret identity
BOBBY BAILEY, 2.75, 6275c40e-0080-4ba3-88b5-2cb35002cf7b, Security analysis of promoting Heliocentrism
DEBORAH BAILEY, 2.04, 5cb2f43c-06d3-4476-943c-1a2841c430a2, Using rfid to improve representing the disenfranchised
JOSE DAVIS, 2.39, 8c91a0e3-816c-479f-b0bf-786566eae36d, Worshipping cthulu in making prank calls
MARY ANDERSON, 3.47, b4d7c339-e9b9-47a8-ab6a-d1192c07c807, Using excel to analyse patterns in killing murderers
GARY HUGHES, 2.84, 2a715d5c-1446-446c-8127-0a60eedefe32, Using ai to streamline hunting raccoons
