Student Number, Student Name, Project Title
14453522, Aung San Suu Kyi, PLongWritable-centre estimation from audio signals (speech and music)
14453522, Christopher Columbus, PaperMill: A Visual Interface For Managing Research Paper Collections
15205902, Bobby Fischer, Sabermetrics and Machine Learning
15206138, Bob Marley, Reading Support App for Children with Dyslexia
15522923, Andy Warhol, Connected Vehicles for Greener Traffic
15522923, Stephen Jay Gould, Equestrian Dressage Tutor
16205665, Bill Clinton, Fitness By You: Discovering What Works
16209984, Brad Pitt, Smart Routing Support for Bike Rental Schemes
16210030, Eliot Ness, How good is reinforcement learning for optimisation problems?
16210546, Bridget Jones, Synthetically Trained Deep Learning Parser for Hand Drawn Tree Graphs
16210639, Adam Smith, A Word Lexicon Builder Using Neural Word Embeddings
16210698, Atticus Finch, A web platform for running visualisation experiments
16210705, Archie Bunker, Pennies from heaven: capitalizing on open banking data to improve mental health
17210556, Bill Gates, Gaming Price Haven
18210030, Buck Rogers, Beyond Good and Evil
18210698, Che Guevara, but I thought they were all the same...
18210705, Charles Dickens, Paranoid? Who? Me?
21200042, Cleopatra O'Sullivan, k-Nearest Neighbour speedup
21200047, Carl Sagan, 'What is the computer seeing?' - a cooperative photo-driven game 
21200055, Carrie Bradshaw, Standalone Software Metrics Tool 
21200060, Cicero O'Reilly, PlasticAWARE - A Mobile App for Reducing Plastic Pollution when Shopping
21200070, Carl Lewis, Techniques to Support Spatially and Temporally Constrained Decisions
21200091, Charlie Parker, Failure to Race
21200092, Buzz Lightyear, Predicting Protein Contact Maps post-Google
21200120, Charles Darwin, A School Time Tabling Distributed Web Application
21200161, Colin Farrell, Learning shortest path tours to all pubs in UK
21200174, Christopher Hitchens, Secure Service Migration and Offloading Protocol for Cloud and Edge Computing Platforms
21200181, Clark Gable, Spatial Decision Support Tools
21200189, Christian Bale, Factorisation Machines for Recommendation at Industrial Scale
21200221, Clark Kent, Give Your Skills: Volunteer Platform for Project Management
21200240, Emperor Caligula Smith, Duncannon Fort Visitor Experience: Digital Visitor Guide Design +ACY- Development
21200254, Giacomo Casanova, Deep Learning for protein subcellular localisation prediction
21200277, Colonel Sanders, Finding the Minimum Number of Sudoku Clues Through Information Theory
21200283, Captain Ahab Murphy, Automatic generation of a visual timeline from dates
21200487, Bruce Wayne, Classifying and Recommending Product Reviews
21200502, Charles Atlas, Web-based intelligent knowledge-based energy retrofit recommendation system
21200695, Chuck Norris, Forecasting Electricity Load for Commercial Buildings 
21200861, Cardinal Richelieu, An Attentive Twitter Bot
21200936, Charlie Chaplin, Real World Federated Learning
21201041, Charlemagne, Open Source Data Ingestion Engine for Sensor Data
21201163, Confucius Li, Exploratory Fairness Analysis
21201185, Copernicus Walesa,  mental health +ACY- wellbeing: visualizing the change in online media's discussion of mental health
21201672, Clint Eastwood, An Assessment of Wet Bias in Weather Forecasts
21201847, Buzz Aldrin, Searching for Mental Wellbeing
21202960, Cary Grant, Visualisation and exploration of the look-and-say sequence
21203812, Cameron Diaz, Data augmentation using GANs for small image dataset
21203925, Buddha Higgins,  Diversity and Pairwise Recommendations
21204208, Charles Foster Kane, Server Cluster Energy Management and Carbon Reduction
21204223, Enrico Caruso, Pic(k) how you feel: an image-based assessment of mental health
21204505, Cosmo Kramer, A Health-aware Food Recommended System 
21204865, Bruce Springsteen, Water analysis using hyper spectral imaging
21208113, Courtney Love, Optimization of Resource Constrained IoT Platform Performance for Facilitating Diverse Security Services Leveraging MEC Edge Provisions 
21208114, Charlie Brown, Multi-criteria Recommender System
22200042, Bart Simpson, Event Correlation for Service Computing using Spark SQL
22200047, Andrew Lloyd Webber, Agent-based version management of replicated software in large enterprises
